player,final_rating,matches_played,wins,losses,rank,win_rate
sup4_ppo_rm4,1070.1929494517588,2275,1517,758,1,0.6668131868131868
sup4_6b_ppo_rm4_6b,1041.1843840944161,2425,1750,675,2,0.7216494845360825
sup4_6b,958.7986274367915,2555,1225,1330,3,0.4794520547945205
sup4_3b,941.8516884625842,1885,810,1075,4,0.4297082228116711
sup4_6b_ppo_rm4_6b_t.7,910.4499867906086,399,213,186,5,0.5338345864661654
pretrain_3b,893.5049083412541,1397,525,872,6,0.3758052970651396
sup4_12b,886.241253651684,2047,1011,1036,7,0.49389350268685883
sup4,881.8796528781049,1854,793,1061,8,0.42772384034519956
title,827.2832973635391,1916,610,1306,9,0.31837160751565763
pretrain_12b,815.8054566545671,1509,541,968,10,0.3585155732273029
pretrain_6b,773.2113457151677,1556,475,1081,11,0.30526992287917737
sup4_6b_ppo_rm4_6b_t.5,752.3907253504409,393,230,163,12,0.5852417302798982
pretrain_xl,712.5238584753483,1119,268,851,13,0.23949955317247543
sup4_xl_bo16_rm4_6b,578.8249473868306,141,87,54,14,0.6170212765957447
sup4_6b_t.5,471.3476147741815,417,227,190,15,0.5443645083932853
sup4_xl_bo8_rm4_6b,460.76248306670146,232,119,159,16,0.42805755395683454
sup4_6b_t.3,437.8572654874034,422,241,181,17,0.5710900473933649
sup4_xl_bo128_rm4_6b,427.0109456009184,645,352,293,18,0.5457364341085271
sup4_xl_bo16_rm4,426.2915023580348,179,72,107,19,0.4022346368715084
sup4_6b_p.9,393.4566545474276,349,145,204,20,0.4154727793696275
sup4_6b_p.7,393.1312854511888,350,165,185,21,0.4714285714285714
sup4_xl_bo16_rm3,369.3037970828968,167,83,84,22,0.49700598802395207
sup4_xl_bo1024_rm4_6b,343.24062925100543,730,427,303,23,0.584931506849315
sup4_6b_p.8,334.59834958783284,351,132,219,24,0.37606837606837606
sup4_xl_bo8_rm4,310.6388421260097,300,173,185,25,0.48324022346368717
sup4_6b_t1,290.24059365847324,418,73,345,26,0.17464114832535885
sup4_xl_bo8_rouge,225.28892501883865,271,152,174,27,0.4662576687116564
sup4_xl_bo1024_rm3,207.87982213866835,615,341,274,28,0.5544715447154471
sup4_xl_bo64_rm4_6b,180.44689837749064,1080,694,603,29,0.5350809560524287
sup4_xl_bo1024_rm4,175.42354166878357,650,368,282,30,0.5661538461538461
sup4_xl_bo16_rouge,133.8164073863797,158,49,109,31,0.310126582278481
sup4_xl_bo128_rm4,133.62490661373408,684,358,326,32,0.5233918128654971
sup4_xl_bo2_rouge,98.99456704845073,161,57,104,33,0.35403726708074534
sup4_xl_bo2_rm3,98.18804950588736,160,69,91,34,0.43125
sup4_xl_bo2_rm4,92.35520530492661,143,68,75,35,0.4755244755244755
sup4_xl_bo512_rm4_6b,71.01295863683441,1222,761,703,36,0.519808743169399
sup4_xl_bo2_rm4_6b,60.733810291071194,131,57,74,37,0.4351145038167939
sup4_xl_bo128_rouge,40.709711486674024,757,298,459,38,0.39365918097754293
sup4_xl_bo64_rm4,18.44243913379523,1144,655,713,39,0.4788011695906433
sup4_xl_bo512_rm4,9.469255772126735,1088,679,626,40,0.5203065134099617
sup4_xl_bo1024_rouge,-53.12343060515215,626,234,392,41,0.3738019169329074
sup4_xl_bo64_rouge,-54.884713518764954,1264,674,834,42,0.4469496021220159
sup4_xl_bo512_rouge,-194.29189043474963,1049,521,732,43,0.4158020750199521
sup4_ppo_rm4_t.7,-1124.5717575992187,3525,2415,1110,44,0.6851063829787234
sup4_12b_t0.7,-1380.7224473229328,2531,697,1834,45,0.27538522323192416
sup4_bo256_rm3_6b,-2710.1104871863085,461,249,212,46,0.5401301518438177
sup4_bo128_rm3_6b,-3113.0751965094532,766,467,448,47,0.5103825136612021
pretrain_12b_t.5,-3315.2211387930374,4962,2207,2755,48,0.44478033051189036
pretrain_xl_t.7,-3534.859509559786,2487,597,1890,49,0.24004825090470447
sup4_bo8_rm3,-3877.277520471478,1857,836,1077,50,0.4370099320439101
sup4_bo128_rm3,-3907.902513085183,2884,1641,1684,51,0.49353383458646616
sup4_bo256_rm3,-3927.0116832996873,1360,699,661,52,0.5139705882352941
sup4_ppo_rm3,-4018.2095129530626,3517,1992,2040,53,0.49404761904761907
sup4_ppo_rm3_kl6,-4095.95383251242,2391,1240,1151,54,0.5186114596403179
sup4_t0.7,-4220.571251331674,13863,7491,10629,55,0.41341059602649005
sup4_ppo_rm3_kl22,-4232.70643334063,2349,1373,976,56,0.5845040442741593
sup4_ppo_rm3_kl9,-4280.726684416975,3156,1795,1361,57,0.5687579214195184
sup4_ppo_rm3_kl69,-4317.420287338159,2356,1213,1143,58,0.514855687606112
sup4_3b_t0.7,-4349.181763494342,1370,522,848,59,0.381021897810219
sup4_ppo_rm3_kl2,-4367.20091364942,2320,1110,1210,60,0.47844827586206895
sup4_6b_p.95,-4687.173694271513,736,193,543,61,0.26222826086956524
sup4_ppo_rm3_kl260,-6179.335358236671,2108,88,2020,62,0.04174573055028463
sup4_bo512_rm3,-9961.300959447575,1702,908,997,63,0.47664041994750656
sup4_6b_ppo_rm3_6b_kl15,-10474.076744630562,4779,2848,2600,64,0.5227606461086637
sup4_6b_ppo_rm4_6b_kl14,-11113.341596856795,5100,3516,2254,65,0.6093587521663778
pretrain_6b_t.7,-11811.68984027319,1752,465,1287,66,0.2654109589041096
ref,-12283.90010135451,76689,51234,25455,67,0.6680749520791769
sup4_bo64_rm3,-12470.29997184808,1893,1086,1019,68,0.5159144893111639
sup3_bo8_rm2,-13683.939750866402,3727,1985,1742,69,0.5325999463375369
sup3_bo63_rm2,-13702.649787760241,1870,1218,652,70,0.651336898395722
sup3_ppo_rm1,-13819.166595264433,3722,1418,2304,71,0.38097796883396023
sup3,-13916.455454600627,1858,618,1240,72,0.3326157158234661
supcnndm3_6b_t.3,-21060.0,1410,1410,1410,73,0.5
sup2_bo8_rm1,-73585.92248168572,6875,3614,3261,74,0.5256727272727273
sup3_6b,-73653.9870902139,6884,3164,3720,75,0.45961650203370136
sup1,-73824.36361571812,15600,9155,14098,76,0.39371263922934674
sup2,-80608.77169747447,39407,22882,32798,77,0.41095545977011494
sup4_ppo_rm3_kl10,-99523.77270401288,10547,9499,9324,78,0.5046485682409818
sup4_6b_t0.7,-100121.23912700852,13813,9667,11588,79,0.4548106327922842
sup4_ppo_rm3_kl20,-111428.0000045076,9846,9128,9156,80,0.4992343032159265
